title,"name_in_the_communication_poem(字, 別號, 姓+字, or 姓+名)",notes(other name patterns),zi 字,hao 別號,surname_zi 姓+字,all_surnames
柳上見鶯,x,,,,,柳
樂昌公主,x,,,,,昌;公;樂
次韵見寄,x,,,,,
次韵見懷,x,,,,,懷
次韻秋心,x,,,,,秋
次韻見和,x,,,,,和
次韻見寄,x,,,,,
次韻見贈,x,,,,,
歲暮見懷,x,,,,,懷
歸自壽昌,x,,,,,昌;壽
永州書懷,x,,,,,懷
江上遣心,x,,,,,
江尉見過,?,,,,,
泊上虞縣,x,,,,,虞
溪上見梅,x,,,,,梅
玉山道上,x,,,,,山
琴僧見過,x,,,,,
留別心老,x,,,,,別
留別東陽,x,,,,,東;別
留湖心寺,x,,,,,
發會同館,x,,,,,
答人見寄,?,,,,,
答人見贈,?,,,,,
臨川投贈,x,,,,,
臨川道上,x,,,,,
至上高邑,x,,,,,高
與蔡揚州,x,,,,,蔡
與鄭婺源,x,,,,,鄭
藺五見訪,x,,,,,藺
處州閑題,x,,,,,
襄陽懷古,懷古,x,懷古,,,懷;古
見放翁退,放翁,,,放翁,,翁
見月有懷,x,,,,,懷
見王參政,x,,,,,王
見王廣文,x,,,,,王;廣
見舊題壁,x,,,,,
見蔡儒效,蔡儒效,,儒效,,蔡儒效,蔡
見袁蒙齋,袁蒙齋,,,蒙齋,,袁;蒙
見雁有懷,x,,,,,懷
謝人見過,x,,,,,謝
謝見招者,x,,,,,謝
賦豐城劍,x,,,,,豐
贈俞竹心,x,,,,,俞
贈劉心月,x,,,,,劉
贈向揚州,x,,,,,向
贈心上人,x,,,,,
贈李嚴州,x,,,,,李;嚴
贈江山人,x,,,,,山
贈襄陽妓,x,,,,,
贈陶永州,x,,,,,陶
贈馮揚州,x,,,,,馮
赴潮陽倅,x,,,,,
送丁惠安,丁惠安,,,,,惠;安;丁
送仙居令,仙居,x,,仙居,,
送劉和州,x,,,,,劉;和
送劉山陽,x,,,,,山;劉
送劉涇州,x,,,,,劉
送吳縣丞,x,,,,,吳
送張揚子,x,,,,,張
送張遂州,x,,,,,張
送心上人,x,,,,,
送心浄頭,x,,,,,
送心非庵,x,,,,,
送方潮州,x,,,,,方
送李果州,x,,,,,李
送李眉州,x,,,,,李
送林潮州,x,,,,,林
送樊眉州,x,,,,,樊
送歐陽辯,歐陽,,,,,歐陽
送泉州僧,x,,,,,
送潘華陽,潘華陽,,,華陽,,潘
送王寧國,x,,,,,王;寧
送王梁山,x,,,,,王;山;梁
送王汝州,x,,,,,王
送真泉州,x,,,,,
送知無見,x,,,,,
送舒永豐,x,,,,,豐;舒
送芮玉山,x,,,,,山;芮
送趙清江,x,,,,,趙
送陳莆田,x,,,,,田;陳
送鞠彭山,彭山,鞠彭山,,彭山,,彭;鞠;山
送鮮于漕,x,,,,,于;鮮于
過永豐題,x,,,,,豐
過江山作,x,,,,,山
過豐城作,x,,,,,豐
酬王濟州,x,,,,,王
錢塘懷古,懷古,x,懷古,,,懷;錢;古
錢塘有作,x,,,,,錢
錢塘江上,x,,,,,錢
長樂閒賦,x,,,,,樂
長沙王廟,x,,,,,王;沙
長沙留別,x,,,,,別;沙
長沙道上,x,,,,,沙
題仁壽閣,x,,,,,壽
題仙居閣,仙居,x,,仙居,,
題劉心月,x,,,,,劉
題南海祠,x,,,,,南
題合江亭,x,,,,,
題崇安驛,x,,,,,安
題平心堂,x,,,,,平
題廓見亭,x,,,,,
題心游樓,x,,,,,游
題掃心圖,x,,,,,
題撫州驛,x,,,,,
題昌國院,昌國,x,昌國,,,昌
題歸安寺,x,,,,,安
題江心寺,x,,,,,
題清心堂,x,,,,,
題清江臺,x,,,,,
題祥符寺,x,,,,,符
題豐城驛,x,,,,,豐
題醒心亭,x,,,,,
題醒心軒,x,,,,,
題錢清江,x,,,,,錢
題長樂亭,x,,,,,樂
題長沙鋪,x,,,,,沙
題陽朔山,x,,,,,山
餘姚江上,x,,,,,姚
餘杭道上,x,,,,,杭
高郵懷舊,x,,,,,懷;高
魏衍見過,x,,,,,魏
三送陳沅江,x,,,,,陳
上揚州太守,x,,,,,
上揚州錢帥,x,,,,,錢
上高寶嚴寺,x,,,,,高;嚴
于眉州挽詩,x,,,,,于
仁壽堂古梅,古梅,x,,古梅,,壽;古;梅
代壽德興尹,德興,x,德興,,,壽
代郡園見答,x,,,,,
令江夏時作,x,,,,,夏;時
元上人見訪,x,,,,,元
元日寄耒陽,x,,,,,元
元日平江作,x,,,,,平;元
入壽昌縣界,x,,,,,昌;壽
再賦醒心亭,x,,,,,
再送陳沅江,x,,,,,陳
再韻呈雲心,x,,,,,雲
分宜示沈弟,x,,,,,宜;沈
初見梅有作,x,,,,,初;梅
別宜春柯宰,x,,,,,宜;柯;別;宰
別弟赴新昌,x,,,,,昌;別
別金華朱丞,x,,,,,金;朱;別
別長沙驛渡,x,,,,,別;沙
别宇文季蒙,宇文季蒙,,季蒙,,宇文季蒙,宇文;蒙;季
劉和州輓詞,x,,,,,劉;和
又次見寄韻,x,,,,,
史合州挽詩,x,,,,,
合江舟中作,x,,,,,
同心言如蘭,?,,,,,蘭
向衡州生日,x,,,,,衡;向
呈歐陽伯威,歐陽伯威,,伯威,,歐陽伯威,歐陽
呈水心先生,水心,,水心,水心,,
呈蕭山知縣,x,,,,,蕭;山
周耐溪見訪,x,,,,,周
和三兄見寄,x,,,,,和
和世同見懷,?,,和世,,,懷;和
和前人見寄,x,,,,,和
和前韻見寄,x,,,,,和
和南仲見寄,南仲,,南仲,,,仲;和;南
和原甫見送,x,,,,,和
和參寥見寄,x,,,,,和
和叔奇見寄,叔奇,,叔奇,,,和
和台州衛倅,x,,,,,衛;台;和
和君時見寄,君時,,君時,,,和;時
和呂令見寄,x,,,,,呂;和
和周濤見寄,x,,,,,周;和
和唐異見寄,x,,,,,唐;和
和堯夫見寄,堯夫,,堯夫,,,和
和壽昌道中,x,,,,,昌;和;壽
和天目見寄,x,,,,,和
和子召見寄,子召,,子召,,,和
和子華見寄,子華,,子華,,,和
和宗人見寄,x,,,,,宗;和
和尹叔見寄,尹叔,,尹叔,,,和
和帚齋見寄,x,,,,,和
和常父見寄,常父,,常父,,,和;常
和平叔見寄,平叔,,平叔,,,平;和
和昌甫見寄,x,,,,,昌;和
和朱尉見招,x,,,,,朱;和
和東美見寄,東美,,東美,,,東;和
和毅伯見寄,伯見,x,伯見,,,和
和澹庵見留,澹庵,,,澹庵,,和
和王衢見寄,x,,,,,王;和
和癯翁見貽,x,,,,,翁;和
和耿憲見贈,耿憲,,,,,耿;和
和蒙尉見寄,x,,,,,蒙;和
和遠老見懷,x,,,,,懷;和
和邦求見寄,x,,,,,和
和郭倅見寄,x,,,,,郭;和
和鈍庵見留,x,,,,,和
和陶掾見寄,x,,,,,陶;和
和靈空見贈,x,,,,,空;和
和顔令見寄,x,,,,,和
和馮亞見贈,x,,,,,和;馮
和魯憲見寄,x,,,,,魯;和
壽仙遊許宰,x,,,,,許;宰;壽
壽台州黄守,x,,,,,台;壽;黃
壽巴陵朱宰,x,,,,,朱;巴;宰;壽
壽建安郡王,x,,,,,王;安;壽
奉酬巴陵令,x,,,,,巴
奠謁曲江墓,x,,,,,
孫常州挽詩,x,,,,,孫;常
宋賢良見過,x,,,,,宋
宗人緘見過,x,,,,,宗
宴建昌耋老,x,,,,,昌
寄保壽心鏡,x,,,,,壽
寄南安鹿宰,x,,,,,安;鹿;宰;南
寄太和舊遊,太和,,太和,,,和
寄宇文公南,宇文公南,,公南,,宇文公南,宇文;公;南
寄宇文成州,宇文成州,,成州,,宇文成州,宇文;成
寄宇文相公,x,,,,,宇文;公;相
寄宇文邛州,x,,,,,宇文
寄崇德大師,x,,,,,
寄歐陽元老,歐陽元老,,,,歐陽元老,元;歐陽
寄歐陽叔弼,歐陽叔弼,,叔弼,,歐陽叔弼,歐陽
寄歐陽振仲,歐陽振仲,,振仲,,,仲;歐陽
寄無錫諸蔣,x,,,,,蔣
寄申屠御史,x,,,,,申屠;屠
寄申屠雪磯,x,,,,,申屠;屠
寄答顔長道,長道,顔長道,長道,,,
寄華陽道侶,華陽,x,,華陽,,
寄覺範長沙,x,,,,,沙
寄餘干鄭丞,x,,,,,鄭;干
寓南昌僧舍,x,,,,,昌;南
山行見月作,x,,,,,山
巴陵界中作,x,,,,,巴
幽州會同館,x,,,,,
建昌寄紙被,x,,,,,昌
弔宇文道可,道可,,道可,,,宇文
弔揚州瓊花,x,,,,,
張以道見過,張以道,,以道,,張以道,張
彭山縣君居,彭山,x,,彭山,,彭;山
彭山贈貫之,彭山,x,貫之,彭山,,彭;山
心知莊求頌,x,,,,,莊
懷南昌舊遊,x,,,,,昌;懷;南
懷石壁山寺,石壁,x,,石壁,,懷;山;石
懷鄱陽士民,x,,,,,懷
懷錢塘舊居,x,,,,,懷;錢
戲作呈廣心,x,,,,,廣
投建陽王宰,x,,,,,王;宰
挽歐陽仁叟,歐陽仁叟,,仁叟,,,歐陽
挽歐陽宜人,歐陽宜人,,,,,宜;歐陽
挽歐陽幼立,歐陽幼立,,,,,歐陽
挽歐陽梅坡,歐陽梅坡,,,梅坡,,歐陽;梅
挽靖安縣君,x,,,,,安
揚州城下賦,x,,,,,
撫州城外作,x,,,,,
故人見寄韻,x,,,,,
文彭州挽詩,x,,,,,彭
新昌逢故人,x,,,,,昌
晨謁書所見,x,,,,,
曾廣漕見過,x,,,,,廣;曾
李信州挽詩,x,,,,,李
李懷安挽詩,x,,,,,安;懷;李
李綿州訪别,x,,,,,李
李舍人見過,x,,,,,李
李贊皇畫像,x,,,,,李
次及甫見寄,及甫,,及甫,,,
次季奕見懷,x,,,,,奕;懷;季
次惠老見詒,惠老,,惠老,,,惠
次曾南豐韻,x,,,,,豐;南;曾
次柳倅見寄,x,,,,,柳
次楚山見寄,楚山,,,楚山,,山
次蒲心泉韻,x,,,,,蒲
次蕭饒州韻,x,,次蕭,,,饒;蕭
次韵柳見答,x,,,,,柳
次韵魏見寄,x,,,,,魏
次韻興安縣,x,,,,,安
次韻謝昌國,昌國,,昌國,,謝昌國,昌;謝
次馬初心韻,馬初心,,初心,,,馬;初
歐陽公制贊,歐陽公,,,,,公;歐陽
此心過酬韻,?,,,,,
毛虞卿見過,毛虞卿,,虞卿,,,毛;虞
水心亭分題,水心,x,水心,水心,,
沈貴池挽詞,x,,,,,池;沈
獻歐陽永叔,歐陽永叔,,永叔,,歐陽永叔,歐陽
瑞安縣詠懷,x,,,,,安;懷
留題仙遊寺,x,,,,,
示臨川曾革,x,,,,,曾
示長兒存心,存心,,,存心,,
秦少章見過,秦少章,,少章,,秦少章,秦;章
程舅夜見過,x,,,,,程
答仲儀見寄,仲儀,,仲儀,,,仲
答元珍見贈,x,,,,,元
答及甫見和,及甫,,及甫,,,和
答和叔見寄,和叔,,和叔,,,和
答執中見和,執中,,執中,,,和
答子莊見和,子莊,,子莊,,,莊;和
答宇文公南,宇文公南,,公南,,宇文公南,宇文;公;南
答審知見貽,x,,,,,
答曼叔見寄,曼叔,,曼叔,,,
答林石田見,石田,,,石田,,田;石;林
答楊教見和,x,,,,,楊;和
答王拙見寄,x,,,,,王
答秀實見招,秀實,,秀實,,,
答誠之見和,誠之,,誠之,,,和
答陳渙見贈,x,,,,,陳
答顔生見寄,x,,,,,
簡崇德葛令,x,,,,,葛;簡
群玉山留題,群玉山,,群玉,,,山
翁高郵挽詩,x,,,,,翁;高
耿和州挽詩,x,,,,,耿;和
聞平江焚爇,x,,,,,平;聞
聞海陽姪訃,?,,,,,聞
能懷天下心,x,,,,,能;懷
臨川驛偶成,x,,,,,成
自題仁壽樓,x,,,,,壽
與俗兄相見,x,,,,,相
與昌國善友,昌國,,昌國,,,昌
與鮮于茶幹,x,,,,,于;鮮于
舒子俊見過,舒子俊,,子俊,,,舒
薛嚴州挽詞,x,,,,,薛;嚴
蘭溪懷和叔,和叔,,和叔,,,蘭;懷;和
虞永康生日,x,,,,,虞;康
行壽昌道中,x,,,,,昌;壽
衢州道中作,x,,,,,
見子大後寄,子大,,子大,,,後
見成季昆仲,成季,,成季,,,仲;成;季
見篔窗先生,x,,,,,
見蛛絲戲作,x,,,,,
見遠亭次韻,x,,,,,
訪皇甫道士,皇甫,,,,,皇甫
訪華陽隱者,華陽,,,華陽,,
許天游見過,許天游,,天游,,,許;游
詹氏仁壽軒,x,,,,,詹;壽
謁南海神廟,x,,,,,南
謁申屠御史,x,,,,,申屠;屠
謁皇甫清虛,x,,,,,皇甫
謝友人見過,x,,,,,謝
謝夢錫見臨,夢錫,,夢錫,,,謝
謝富察見過,富察,,,,,謝;富
謝微之見贈,微之,,微之,,,謝
謝微之見過,微之,,微之,,,謝
謝承君見訪,承君,,承君,,,謝
謝杜丈見過,x,,,,,謝;杜
謝束丈見贈,x,,,,,謝;束
謝蔡生見和,x,,,,,謝;蔡;和
謝諸友見和,x,,,,,謝;和
謝道醇見和,道醇,,道醇,,,謝;和
謝郭倅見訪,x,,,,,郭;謝
謝雙溪見招,雙溪,,,雙溪,,謝;雙
謝頤師見過,x,,,,,謝
謝鶴林見訪,鶴林,,,鶴林,,謝;林
譚南恩見過,x,,,,,譚;南
賀宇文樞使,x,,,,,賀;宇文
賀李臨海雨,x,,,,,賀;李
賞心亭再題,x,,,,,
賦曲江禁柳,x,,,,,柳
贈初心相士,初心,,初心,,,初;相
贈婺源汪氏,x,,,,,汪
贈學易耕心,學易,,學易,,,易
贈宜春筆工,x,,,,,宜
贈心月相士,x,,,,,相
贈心鑒相士,x,,,,,相
贈會稽尊師,尊師,,,尊師,,
贈會稽道士,x,,,,,
贈歐陽伯威,歐陽伯威,,伯威,,歐陽伯威,歐陽
贈歐陽承務,x,,,,,歐陽
贈歐陽處士,x,,,,,歐陽
贈海州使君,x,,,,,
贈皇甫道人,皇甫;道人,,道人,,,皇甫
贈華陽法師,華陽,,,華陽,,
贈萍鄉道士,x,,,,,
贈進賢劉令,x,,,,,劉
贈鮮于伯幾,鮮于伯幾,,伯幾,,,于;鮮于
贈鹽城諸友,x,,,,,
趙奉禮見過,x,,,,,趙
趙德安挽詩,趙德安,,德安,,,趙;安
趙秘校見訪,x,,,,,趙
趙處州挽詩,x,,,,,趙
趙都廂見過,x,,,,,趙
輝船窗見過,x,,,,,
送人之會稽,x,,,,,
送人倅潮陽,x,,,,,
送人歸浦城,x,,,,,浦
送人歸金華,x,,,,,金
送人游錢塘,x,,,,,游;錢
送人還會稽,x,,,,,
送僧之永嘉,x,,,,,
送僧歸峨眉,x,,,,,
送僧歸撫州,x,,,,,
送僧歸永嘉,x,,,,,
送僧還長沙,x,,,,,沙
送劍浦王丞,x,,,,,王;浦
送夫赴襄陽,x,,,,,
送子倅宜春,x,,,,,宜
送子倅當塗,x,,,,,
送宇文正甫,宇文正甫,,正甫,,文正甫,宇文
送悅心北上,x,,,,,
送李杍黟縣,x,,,,,李
送楊君西安,x,,,,,楊;安
送永豐汪令,x,,,,,汪;豐
送沅州通判,x,,,,,
送泉州使臣,x,,,,,
送泉州化主,x,,,,,
送清湘蔣尉,x,,,,,蔣
送烏程吳尉,x,,,,,吳;程;烏
送甥回崇仁,x,,,,,
送皇甫法曹,x,,,,,曹;皇甫
送莆田黄宰,x,,,,,田;宰;黃
送蕭山和弟,x,,,,,蕭;山;和
送鄱陽太守,x,,,,,
送靜海高簿,x,,,,,高
送餘姚顧尉,x,,,,,姚;顧
送高郵葉尉,x,,,,,葉;高
送黄心大師,x,,,,,黃
逢錢塘詩僧,x,,,,,錢
進賢驛感懷,x,,,,,懷
道上見梅花,x,,,,,梅
鄒天錫見過,鄒天錫,,天錫,,,鄒
鄭介道見訪,x,,,,,鄭
酬前人見別,x,,,,,別
酬友人見寄,x,,,,,
酬宣卿見和,宣卿,,宣卿,,,和
酬師中見和,師中,,師中,,,和
酬常丞見和,x,,,,,和;常
酬思誠見贈,思誠,,思誠,,,
酬應物見戲,x,,,,,應
酬政老見贈,x,,,,,
酬故人見贈,x,,,,,
酬智叔見贈,智叔,,智叔,,,
酬沖卿見別,沖卿,,沖卿,,,別
酬淄守見寄,x,,,,,
酬穎叔見寄,穎叔,,穎叔,,,
酬邦鑑見和,邦鑑,,邦鑑,,,和
酬閏師見贈,x,,,,,
酬黎丞見和,x,,,,,和;黎
重寄郭衢州,x,,,,,郭
金華聖者贊,x,,,,,金
錢塘聞子規,x,,,,,聞;錢
錢塘賦水母,x,,,,,錢
錢塘送元立,x,,,,,元;錢
鍾俊卿見訪,鍾俊卿,,俊卿,,,鍾
閬中作二首,x,,,,,
陳太平挽詩,x,,,,,陳;平
陸子履見過,陸子履,,子履,,陸子履,陸
韓持國見訪,韓持國,,持國,,韓持國,韓
題丹徒漕渠,x,,,,,
題仙居相湖,仙居,,,仙居,,相
題仙居道中,仙居,,,仙居,,
題剡山所見,x,,,,,山
題南海東廟,x,,,,,東;南
題台州巾峰,x,,,,,台
題嚴州新堂,x,,,,,嚴
題婺源齋廳,x,,,,,
題宜興庵壁,x,,,,,宜
題心遠别墅,心遠,,心遠,,,
題水心寺壁,水心,,水心,水心,,
題永嘉寺壁,x,,,,,
題永州淡巖,淡巖,,,淡巖,,
題江心寺詩,x,,,,,
題涇縣水西,x,,,,,
題瀘川縣樓,x,,,,,
題眉嶺方池,x,,,,,池;方
題長沙王祠,x,,,,,王;沙
題閩縣西湖,x,,,,,
題陽朔縣舍,x,,,,,
餘姚陳寺丞,x,,,,,陳;姚
餘杭聞出師,x,,,,,杭;聞
馬上見庭竹,x,,,,,馬
馬上見殘月,x,,,,,馬
馬上見華山,x,,,,,馬;山
馬上見蜀山,x,,,,,馬;山
高郵送紫芝,紫芝,,紫芝,,,高
鵝湖仁壽寺,x,,,,,壽
龍泉秩滿題,x,,,,,滿;龍
龍門呈心老,x,,,,,龍
上嚴州烏石灘,x,,,,,石;烏;嚴
上巳臨川道中,x,,,,,
上高提舉生日,x,,,,,高
之上虞道中作,x,,,,,虞
九日壽之見過,壽之,,壽之,,,壽
僧求詩往平江,x,,,,,平
再任蜀川感懷,x,,,,,任;懷
再和伯常見寄,伯常,,伯常,,,和;常
再和嘉父見貽,嘉父,,嘉父,,,和
再和聖俞見答,聖俞,,聖俞,,,和;俞
再和都官見答,x,,,,,和
再和頤齋見寄,頤齋,,,頤齋,,和
再見從弟舍人,x,,,,,從
再過陽朔寄人,x,,,,,
再酬叔向見謝,叔向,,叔向,,,謝;向
冬日友人見過,x,,,,,
冬至寓建陽作,x,,,,,
初見白髮示內,x,,,,,初;白
別叔父崑山丞,叔父,,叔父,,,山;別
別張袁州五首,x,,,,,袁;別;張
別永福張景山,張景山,,景山,,張景山,別;山;景;張
別眉山源上人,x,,,,,山;別
別邵武諸故人,x,,,,,武;邵;別
勘會賀蘭溪主,x,,,,,賀;賀蘭;蘭
南充縣野翁亭,野翁,,野翁,野翁,,翁;充;南
南安寶戒院作,x,,,,,安;南
又和三兄見寄,x,,,,,和
又和席上見贈,x,,,,,席;和
又和燈夕見寄,x,,,,,和
又和題宜春臺,x,,,,,宜;和
合江縣舟中作,x,,,,,
吉水寄閻侍御,x,,,,,閻;吉
吊死心禪師偈,x,,,,,
同吳心雲避暑,x,,,,,雲;吳
同見可過書院,x,,,,,
君明見和再作,x,,,,,和
呈南安孟使君,x,,,,,安;孟;南
呈李贛州四首,x,,,,,李
呈王平江二首,x,,,,,王;平
呈葛撫州二首,x,,,,,葛
呈鄱陽趙及甫,趙及甫,,及甫,,,趙
呈陸嚴州二首,x,,,,,陸;嚴
呈陸嚴州五首,x,,,,,陸;嚴
和丘君就見寄,x,,,,,丘;和
和人見寄二首,x,,,,,和
和人見贈四首,x,,,,,和
和仲韓見簡韻,和仲;韓見,,和仲,,,仲;和;韓;簡
和何伯溫見寄,何伯溫,,伯溫,,,溫;何;和
和何特夫見寄,x,,,,,何;和
和余天開見寄,x,,,,,余;和
和傅子雲見贈,傅子雲,,子雲,,,雲;和;傅
和傅欽之見寄,傅欽之,,欽之,,傅欽之,傅;和
和劉元弼見寄,劉元弼,,,,劉元弼,元;劉;和
和劉元弼見招,劉元弼,,,,劉元弼,元;劉;和
和劉公儀見寄,劉公儀,,公儀,,,公;劉;和
和劉天常見寄,劉天常,,天常,,,劉;和;常
和劉景文見贈,劉景文,,景文,,劉景文,景;劉;和
和劉正夫見寄,劉正夫,,正夫,,劉正夫,劉;和
和劉濬見贄韻,x,,,,,劉;和
和劉與仁見寄,x,,,,,劉;和
和劉道原見寄,劉道原,,道原,,劉道原,劉;和
和十五姪見寄,x,,,,,和
和南澗叔見寄,南澗,,,南澗,,和;南
和叔雪中見過,?,,和叔,,,和
和可菴見寄韻,可菴,,,可菴,,和
和史濟川見贈,濟川,,濟川,,,和
和向文叔見寄,向文叔,,文叔,,,向;和
和向相公見寄,x,,,,,公;向;和;相
和和承制見贈,x,,,,,和
和姜梅山見寄,x,,,,,山;姜;和;梅
和孫虞部見贈,x,,,,,虞;和;孫
和寬居見懷韻,寬居,,,寬居,,懷;和
和寶印叔見寄,寶印,,,寶印,,和;印
和岑巖起見寄,岑巖起,,巖起,,岑巖起,和;岑
和左經臣見過,左經臣,,經臣,,左經臣,和;左
和康晉侯見贈,康晉侯,,晉侯,,,侯;康;和
和康甫兄見寄,x,,,,,康;和
和張仲實見寄,張仲實,,仲實,,張仲實,和;仲;張
和張伯威見寄,張伯威,,伯威,,,和;張
和張伯常見寄,張伯常,,伯常,,,和;張;常
和張凝神見貽,x,,,,,和;張
和張原齋見寄,x,,,,,和;張
和張沙河招飲,x,,,,,和;張;沙
和性之見寄韻,性之,,性之,,,和
和成冠卿見寄,成冠卿,,冠卿,,,成;和
和揭尉見賀韻,x,,,,,賀;和
和方泰州見寄,x,,,,,和;方
和方耜岩見寄,x,,,,,和;方
和旻道人見寄,道人,,道人,,,和
和昌齡弟見寄,昌齡,,昌齡,,,昌;和
和明上人見贈,x,,,,,和
和曾竑父見招,x,,,,,和;曾
和朱世同見寄,x,,,,,朱;和
和朱少章見寄,朱少章,,少章,,朱少章,章;朱;和
和朱文卿見贈,朱文卿,,文卿,,,朱;和
和李判院見寄,x,,,,,和;李
和李判院見貽,x,,,,,和;李
和李希膺見寄,x,,,,,和;李
和李獻甫見寄,李獻甫,,獻甫,,李獻甫,和;李
和林徽之見寄,林徽之,,徽之,,,和;林
和林正父見寄,林正父,,正父,,林正父,和;林
和梅德充見寄,梅德充,,德充,,,和;充;梅
和楊樂道見寄,楊樂道,,樂道,,楊樂道,楊;樂;和
和楊節推見贈,x,,,,,楊;和
和江仲嘉見寄,江仲嘉,,仲嘉,,江仲嘉,仲;和
和江鄰幾見寄,江鄰幾,,鄰幾,,江鄰幾,和
和沈太博見貽,x,,,,,和;沈
和沈子壽見寄,沈子壽,,子壽,,沈子壽,和;沈;壽
和滕中舍見寄,x,,,,,和;滕
和潘彥國見贈,潘彥國,,彥國,,,潘;和
和王仲至錢塘,王仲至,,仲至,,王仲至,王;錢;和;仲
和王定國見寄,王定國,,定國,,王定國,王;和
和王明之見寄,王明之,,明之,,王明之,王;和
和王明府見寄,x,,,,,王;和
和王殿直見寄,x,,,,,王;和
和王著作見寄,x,,,,,王;和
和王雅州見贈,x,,,,,王;和
和田仲宣見贈,田仲宣,,仲宣,,,田;仲;和
和田伯清見寄,x,,,,,田;和
和白都官見贈,x,,,,,和;白
和祖上人見貽,x,,,,,祖;和
和祖龍圖見寄,x,,,,,祖;和;龍
和程右史見貽,x,,,,,程;和
和程機宜見貽,x,,,,,宜;程;和
和程進道見貽,程進道,,進道,,程進道,程;和
和答莘老見贈,莘老,,莘老,,,和;莘
和翟建大見寄,x,,,,,翟;和
和胡侍郎見簡,x,,,,,胡;和;簡
和胡宗澤見寄,胡宗澤,,宗澤,,,胡;宗;和
和英上人見寄,x,,,,,和
和范御史見贈,x,,,,,和;范
和范遷善見寄,x,,,,,和;范
和葉先生見寄,x,,,,,葉;和
和葉正父見寄,葉正父,,正父,,,葉;和
和葛德濟見懷,葛德濟,,德濟,,,葛;懷;和
和蕭伯振見贈,蕭伯振,,伯振,,,蕭;和
和諸葛元亮韻,x,,,,,葛;元;諸葛;和
和謝師厚見寄,謝師厚,,師厚,,謝師厚,謝;和
和譚學士見寄,x,,,,,譚;和
和譚鍊師見寄,x,,,,,譚;和
和趙湖州見寄,x,,,,,趙;和
和邵堯夫見寄,邵堯夫,,堯夫,,邵堯夫,邵;和
和邵觀復見贈,邵觀復,,復見,,,邵;和
和郭子駿見寄,郭子駿,,子駿,,,郭;和
和鄒漢廣見寄,x,,,,,鄒;廣;和
和酬張井見贈,x,,,,,井;和;張
和陳叔易見寄,陳叔易,,叔易,,陳叔易,易;陳;和
和陳御带見貽,x,,,,,陳;和
和陳推官見贈,x,,,,,陳;和
和陳柄臣見贈,x,,,,,陳;和
和陳澤民見寄,陳澤民,,澤民,,陳澤民,陳;和
和陳興州見寄,x,,,,,陳;和
和陽先生見贈,x,,,,,和
和際書記見寄,x,,,,,和
和雲心除夕韻,x,,,,,雲;和
和頏書記見寄,x,,,,,和
和顔長道見寄,顔長道,,長道,,,和
和馮允南見寄,馮允南,,允南,,馮允南,和;馮;南
和魏教授見贈,x,,,,,魏;和
和黄伯淵見寄,伯淵,,伯淵,,,和;黃
和龐醇之見寄,龐醇之,,醇之,,龐醇之,龐;和
喜俞玉汝見過,俞玉汝,,玉汝,,,俞
喜刁從事見過,x,,,,,從;刁
喜吉老甥見過,吉老,,吉老,,,吉
